DATE:01/01/2017,
Race Num:1,Track Type:Inner,Weather:Clear,Dist:1310,Condition:Fast,Track Record:1:07.93,Final Time:1:14.18,
Last_Race,Past_Race,Past_Track,Past_Pos,Pgm,Horse,Jockey,Weight,M/E,PP,Finish (Place^Dist),Odds,Fav,Comments,
18Dec16,4,LRL,2,6,Kid Sadove,Ortiz/Jose,121,Lb,3,1 & 0.5,3.70,N,3w_1st+4p_5/16+up,
24Nov16,5,CD,5,7,Emoticon,Maragh/Rajiv,121,Lb,5,2 & Nose,4.80,N,2p+vied_twice+won_plce,
9Dec16,8,AQU,2,8,Samurai Warrior,Ortiz/Jr./Irad,121,Lb,6,3 & 11.5,1.05,Y,bobble_break+3w_turns,
18Dec16,6,AQU,10,2,Honorable Jonas,Diaz/Jr./Hector,114,Lb,1,4 & 1.5,32.75,N,brush_break+2p+tired,
18Dec16,9,AQU,6,1A,Mister Hayes,Carmouche/Kendrick,121,Lb,4,5 & 22.5,8.50,N,ins+vied_6f+gave_way,
18Nov16,2,AQU,4,3,Thirsty Actor,Camacho/Jr./Samuel,121,Lb,2,6 & Last,4.30,N,brush_brk+ins_to_1/4pl,
DATE:05/01/2017,
Race Num:1,Track Type:Inner,Weather:Cloudy,Dist:1760,Condition:Fast,Track Record:1:35.79,Final Time:1:47.01,
Last_Race,Past_Race,Past_Track,Past_Pos,Pgm,Horse,Jockey,Weight,M/E,PP,Finish (Place^Dist),Odds,Fav,Comments,
4Dec16,6,AQU,5,3,Archumybaby,Maragh/Rajiv,121,Lb,3,1 & 2.5,0.30,Y,ins_6F+drive_near_1/4,
7Dec16,1,AQU,2,1,Salori's Bank,Arroyo/Angel,121,L,1,2 & Neck,6.50,N,ins+caught_near_1/16,
FR,FR,FR,FR,2,Grande Beso,Esquivel/Emmanuel,121,--,2,3 & 0.75,25.25,N,rail_rally_for_show,
17Dec16,4,AQU,5,6,Society Hill,Ortiz/Jose,121,Lb,6,4 & 6.25,10.30,N,3w_turn+drive_by_3/8,
FR,FR,FR,FR,5,Pescara,Davis/Dylan,121,L,5,5 & 5,17.40,N,inside_6F+5w_into_lane,
